Country,Year,Feeling of happiness: Quite or very happy,Attend religious services: once a month or more,Number of children (mean),Religious person,Importance of god in life (mean),Religious faith is important for children,Thinks often or sometimes about meaning and purpose of life,Tolerance and respect for other people is important for children
Argentina,1981-1984,77,39,-100,61,6.98,18.7,67.2,43.9
Australia,1981-1984,94.8,24.9,-100,55.8,6.13,22,74.9,66.9
Belarus,1981-1984,-100,-100,-100,-100,-100,-100,-100,-100
Brazil,1981-1984,-100,-100,-100,-100,-100,-100,-100,-100
Canada,1981-1984,-100,-100,-100,-100,-100,-100,-100,-100
Chile,1981-1984,-100,-100,-100,-100,-100,-100,-100,-100
China,1981-1984,-100,-100,-100,-100,-100,-100,-100,-100
Czech Republic,1981-1984,-100,-100,-100,-100,-100,-100,-100,-100
Finland,1981-1984,93.1,10.7,-100,51.1,5.6,-100,76.4,-100
Germany,1981-1984,-100,-100,-100,-100,-100,-100,-100,-100
Hungary,1981-1984,76.5,16.7,-100,43.2,4.97,8.3,75.3,30.8
India,1981-1984,-100,-100,-100,-100,-100,-100,-100,-100
Japan,1981-1984,76.9,12.8,-100,24,4.83,6.4,72.4,40.7
Mexico,1981-1984,79.2,74.9,-100,74.7,9.01,35.8,64.6,39.4
Netherlands,1981-1984,-100,-100,-100,-100,-100,-100,-100,-100
New Zealand,1981-1984,-100,-100,-100,-100,-100,-100,-100,-100
Nigeria,1981-1984,-100,-100,-100,-100,-100,-100,-100,-100
Poland,1981-1984,-100,-100,-100,-100,-100,-100,-100,-100
Qatar,1981-1984,-100,-100,-100,-100,-100,-100,-100,-100
Romania,1981-1984,-100,-100,-100,-100,-100,-100,-100,-100
Russian Federation,1981-1984,-100,-100,-100,-100,-100,-100,-100,-100
Slovakia,1981-1984,-100,-100,-100,-100,-100,-100,-100,-100
South Africa,1981-1984,80.4,60.8,-100,69.2,8.54,35.2,77.6,50.7
South Korea,1981-1984,-100,27.5,-100,-100,-100,14.2,81.6,24.9
Spain,1981-1984,-100,-100,-100,-100,-100,-100,-100,-100
Sweden,1981-1984,94.2,13.3,-100,30.8,3.98,5.3,63.3,70.9
Switzerland,1981-1984,-100,-100,-100,-100,-100,-100,-100,-100
Tunisia,1981-1984,-100,-100,-100,-100,-100,-100,-100,-100
Turkey,1981-1984,-100,-100,-100,-100,-100,-100,-100,-100
United States,1981-1984,91.1,59.8,-100,81.4,8.3,39.3,82.2,54.7
